,0
7027507,0
6587443,0
1029680,0
7208439,0
3953611,1
2584354,0
4574700,0
5685646,0
977722,1
2931922,1
8253955,0
6426462,1
8154238,0
5020861,0
9611409,0
8939306,0
5423692,0
9159975,0
7561272,0
7326419,0
9373607,0
8939433,0
8939503,0
8742753,0
8939687,0
3793406,0
9134196,0
6007267,1
3422894,0
3630581,1
9394508,0
7348578,0
8869680,1
2979387,0
1531458,1
1549973,1
1123977,0
5719631,1
9580209,0
9364220,0
9663221,0
9636952,0
8594059,0
3679617,1
9416551,0
9511676,0
3158243,1
8327124,0
4311078,0
3329962,1
3263071,1
6250399,1
7387294,0
7363462,0
8156894,0
1150519,0
5969872,0
9617068,0
4438188,0
1521633,1
6623079,0
7561254,0
3494608,0
3085726,1
2256124,0
7071021,1
6938103,0
6913414,0
3706719,1
8174626,0
1571230,1
4270642,1
5407311,1
9558353,0
7247767,0
7353834,1
9319891,0
7550234,0
8939736,0
7247720,0
1786923,1
7649837,0
3610724,2
7988337,0
1773803,1
3770248,1
3291295,0
10031055,0
8939595,0
8155580,0
6705584,1
1417880,1
7245692,0
7153101,0
9014572,0
585418,1
4484426,1
3291777,1
3096191,0
6249536,1
5744931,0
8156764,0
3303857,1
8155710,0
8156860,0
293890,0
7915432,1
1589461,1
9303530,0
7809718,0
140331,0
9462315,0
565703,0
1147349,0
7262358,1
723723,0
4757025,1
3334052,0
7036707,0
5272327,0
3921664,0
9974658,0
794633,0
3959442,0
6824408,1
7859906,0
9636248,0
911001,0
1249060,0
1566487,0
9711153,0
4856986,0
2130652,1
5524530,0
9216874,0
7971395,2
2593263,0
1614502,0
4477426,0
7648716,0
9696912,0
3585592,0
3757858,0
7219838,0
6022715,0
7685745,0
4565370,0
4783817,0
2593176,0
3143227,0
1214306,0
3533224,1
6675927,0
1772119,0
7808495,0
4539948,0
7768727,0
769213,1
5328449,0
1763809,0
1499596,0
4737727,0
8242212,0
8186781,0
7229015,0
2274086,1
4387985,0
9909445,0
7664899,0
4773614,0
3946674,0
8616488,0
5259194,0
2032805,0
3751503,0
7581974,0
6558980,0
2399736,1
8674765,0
6004165,0
1826155,0
4857192,0
7748905,1
973859,1
6716380,0
7953211,0
5241773,0
3144597,0
7698916,0
5069495,1
4430381,0
3177005,1
4430233,0
670009,0
4577542,0
6764646,0
4256705,0
8812578,0
341454,0
8195629,0
2577625,1
555858,0
4814811,0
660603,0
3940265,0
9516608,0
9712716,0
5813657,0
8884826,0
1978743,0
6091789,0
6165353,0
1244053,0
8508223,0
6991188,0
6451305,0
7531405,0
9612147,1
666897,0
4061051,0
3394338,1
4238106,0
7350059,0
5262750,0
2802844,0
3024336,0
10192213,0
3970736,0
4546924,0
2760901,1
3490239,0
3416217,0
5537833,0
8866960,1
3354614,1
8953857,0
7093738,0
5277900,0
1171574,0
74328,0
2612399,0
2515795,0
7093910,0
4170863,0
1442973,0
4396961,0
2112625,0
8814802,1
8273948,0
319768,0
1961671,0
3691288,0
8703557,0
8049470,0
1455908,0
3463245,0
4172364,0
3728802,0
6512378,0
7921278,0
4468524,0
8424532,0
6990882,0
4017140,0
8104742,0
9407255,0
1377812,1
4432489,0
7471629,0
8067827,1
4384095,0
1351716,0
8392661,0
281208,0
7859909,1
1404307,0
7480843,0
877203,0
7037291,0
8173825,0
7619060,0
8103432,0
3998922,0
