id,host_id,host_response_rate,host_is_superhost,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score,bio_score,neighbourhood_Ballard,neighbourhood_Beacon_Hill,neighbourhood_Capitol_Hill,neighbourhood_Cascade,neighbourhood_Central_Area,neighbourhood_Delridge,neighbourhood_Downtown,neighbourhood_Interbay,neighbourhood_Lake_City,neighbourhood_Magnolia,neighbourhood_Northgate,neighbourhood_Other_neighborhoods,neighbourhood_Queen_Anne,neighbourhood_Rainier_Valley,neighbourhood_Seward_Park,neighbourhood_University_District,neighbourhood_West_Seattle,property_type_Apartment,property_type_Bed_Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,room_type_Entire_home_apt,room_type_Private_room,room_type_Shared_room
10106055,51860756.0,94.88679817905918,0.0,2.0,1.0,1.0,1.0,1.0,75.0,0.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9686224459999999,0.9961471559999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3544550,16708587.0,67.0,0.0,8.0,6.0,2.5,3.0,5.0,450.0,8.0,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0.952309847,0.7615809440000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9025039,68155.0,100.0,0.0,5.0,1.0,1.0,2.0,3.0,150.0,0.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.976926684,0.977312088,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3200646,,,,,,,,,,,,,,,,,,,0.9472612140000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8859380,3792761.0,100.0,0.0,6.0,1.0,2.0,3.0,3.0,300.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.977104545,0.9328136440000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2481869,5177328.0,98.0,1.0,4.0,1.0,1.0,1.0,1.0,175.0,38.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9985691309999999,0.7502694129999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1110749,5325329.0,97.0,0.0,6.0,6.0,1.5,3.0,3.0,325.0,68.0,92.0,9.0,9.0,10.0,9.0,10.0,9.0,0.9627155070000001,0.96556443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1686930,8916363.0,100.0,0.0,4.0,1.0,1.0,2.0,2.0,159.0,62.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9610149259999999,0.9412365559999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7680289,40335071.0,100.0,0.0,4.0,2.0,1.0,1.0,2.0,125.0,19.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990042746,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7207641,6544973.0,50.0,0.0,8.0,6.0,3.0,3.0,3.0,348.0,5.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9789160490000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5062445,21072725.0,31.0,0.0,1.0,1.0,1.0,1.0,1.0,45.0,7.0,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0.9549587970000001,0.991207242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
