id,host_id,host_response_rate,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score
7561333,3271389,100.0,1.0,West Seattle,Apartment,Private room,2,2,1.0,1.0,1.0,70.0,28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.792357326
2638086,13364937,94.88679817905918,1.0,West Seattle,House,Entire home/apt,4,2,1.0,1.0,2.0,140.0,15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.986645222
10121329,6162826,100.0,0.0,West Seattle,House,Entire home/apt,4,1,2.0,1.0,1.0,200.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.879380107
5324459,2287724,100.0,1.0,West Seattle,House,Private room,2,1,1.0,1.0,1.0,54.0,31,95.0,9.0,10.0,10.0,10.0,10.0,10.0,0.964092255
233502,1215564,94.88679817905918,0.0,West Seattle,House,Private room,4,2,1.0,1.0,2.0,60.0,1,90.0,6.0,8.0,10.0,10.0,10.0,10.0,0.5
7651148,26378802,88.0,1.0,West Seattle,Bed & Breakfast,Private room,2,1,1.5,1.0,2.0,66.0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8451918359999999
86185,192355,100.0,0.0,West Seattle,House,Private room,2,2,1.0,1.0,1.0,79.0,36,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0.9331201309999999
2522091,12913415,100.0,1.0,West Seattle,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,195.0,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.989520669
7665392,9835237,75.0,0.0,West Seattle,House,Entire home/apt,2,1,1.0,1.0,1.0,105.0,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9693340659999999
1000883,5486919,86.0,0.0,West Seattle,House,Entire home/apt,2,3,1.0,0.0,1.0,100.0,18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.88673842
251922,512084,100.0,1.0,West Seattle,House,Entire home/apt,4,2,1.0,2.0,2.0,93.0,122,95.0,9.0,10.0,10.0,10.0,10.0,9.0,0.893089056
1225820,6530057,100.0,1.0,West Seattle,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,85.0,37,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.965793371
4384800,22764472,100.0,0.0,West Seattle,Apartment,Entire home/apt,7,1,1.0,2.0,7.0,195.0,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
8538630,22764472,100.0,0.0,West Seattle,Apartment,Entire home/apt,4,1,1.0,0.0,3.0,95.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9372962709999999
5751177,26378802,88.0,1.0,West Seattle,Bed & Breakfast,Private room,4,2,2.5,1.0,2.0,129.0,8,95.0,10.0,10.0,10.0,9.0,9.0,9.0,0.77671349
3124961,5014920,94.88679817905918,0.0,West Seattle,House,Entire home/apt,8,4,3.0,4.0,5.0,225.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.970130444
6436772,33601572,94.88679817905918,0.0,West Seattle,House,Entire home/apt,8,6,3.0,4.0,4.0,350.0,2,80.0,10.0,8.0,10.0,10.0,9.0,8.0,0.9884858129999999
7499506,178552,100.0,0.0,West Seattle,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,120.0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.917026043
3403858,16791036,100.0,0.0,West Seattle,House,Entire home/apt,5,1,1.5,2.0,3.0,200.0,8,95.0,9.0,10.0,10.0,10.0,10.0,9.0,0.967382431
746380,2942022,100.0,0.0,West Seattle,Apartment,Private room,3,2,1.0,1.0,2.0,69.0,94,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.944859505
7229743,25239442,100.0,0.0,West Seattle,House,Entire home/apt,6,4,2.0,2.0,3.0,199.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
7547611,5029583,100.0,0.0,West Seattle,Townhouse,Entire home/apt,6,1,2.5,3.0,3.0,225.0,3,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0.975368619
2906694,13703145,100.0,0.0,West Seattle,House,Private room,7,4,1.0,1.0,2.0,81.0,58,87.0,9.0,9.0,10.0,10.0,9.0,9.0,0.9186639790000001
7454026,39037843,75.0,0.0,West Seattle,Condominium,Entire home/apt,6,1,2.5,2.0,3.0,495.0,7,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0.983480811
4651974,19870914,100.0,0.0,West Seattle,Apartment,Entire home/apt,2,0,1.0,1.0,1.0,65.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9688830970000001
